Accuracy,Precision,Recall,F1-score,Model
0.956140350877193,0.9564878104351788,0.956140350877193,0.9562368871555263,LogisticRegression
0.8333333333333334,0.8499446290143964,0.8333333333333334,0.8236894829700069,KNeighborsClassifier
0.7192982456140351,0.723656968508227,0.7192982456140351,0.6940949455569339,SVC_RBF
0.9385964912280702,0.938457254246728,0.9385964912280702,0.9384499917007656,DecisionTree
0.9649122807017544,0.9652053622194477,0.9649122807017544,0.9647382344750765,RandomForest
0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9649122807017544,AdaBoostClassifier
0.956140350877193,0.9560881370091896,0.956140350877193,0.9560357083576898,GradientBoosting
